investigator,url,veg_class,location,plotid,subsample,plot_type,plot_size,year,NPP
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1982,107.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1982,112.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1982,120.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1982,124.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1982,302.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1982,89.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1982,171.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1982,175.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1982,179.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1982,268.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1982,136.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1982,142.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1982,159.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1982,160.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1982,172.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1982,38.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1982,82.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1982,85.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1982,86.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1982,97.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1982,134.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1982,167.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1982,199.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1982,208.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1982,104.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1982,202.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1982,245.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1982,271.00
