AREA,PERIMETER,SDL_GRDP,SDL_GRDPID,POINT,SITECODE,PI,EXPERIMENT,MAX_PDOP,CORR_TYPE,GPS_DATE,GPS_TIME,DATAFILE,UNFILT_POS,STD_DEV,GPS_HEIGHT,STAKE,LTER_POINT,Aspect,Slope
0.0000000000,0.0000000000,"1","179","399",GSTAKE20A,Skip Walker,observational-point,1.8000000000,Realtime Corrected,,12:32:21PM,r091715a.ssf,31.0000000000,0.0966760000,3544.6490000000,20A,"201",149.6208801300,22.7918243410
0.0000000000,0.0000000000,"2","183","403",GSTAKE30A,Skip Walker,observational-point,1.6000000000,Realtime Corrected,,12:37:18PM,r091715a.ssf,27.0000000000,0.1109750000,3544.2360000000,30A,"301",161.5650482200,13.3423633580
0.0000000000,0.0000000000,"3","185","405",GSTAKE40A,Skip Walker,observational-point,1.6000000000,Realtime Corrected,,12:40:49PM,r091715a.ssf,20.0000000000,0.0725310000,3540.1100000000,40A,"401",210.9637451200,4.1687397957
0.0000000000,0.0000000000,"4","189","409",GSTAKE50A,Skip Walker,observational-point,1.8000000000,Realtime Corrected,,12:44:15PM,r091715a.ssf,20.0000000000,0.0678400000,3536.0620000000,50A,"501",285.2551269500,8.1112794876
0.0000000000,0.0000000000,"5","193","413",GSTAKE60A,Skip Walker,observational-point,1.8000000000,Realtime Corrected,,12:47:23PM,r091715a.ssf,20.0000000000,0.0828530000,3533.5490000000,60A,"601",285.9453735400,10.3150825500
0.0000000000,0.0000000000,"6","197","417",GSTAKE70A,Skip Walker,observational-point,2.0000000000,Realtime Corrected,,12:50:23PM,r091715a.ssf,24.0000000000,0.0684270000,3529.2990000000,70A,"701",303.6900634800,5.1506524086
0.0000000000,0.0000000000,"7","201","421",GSTAKE80A,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,12:53:46PM,r091715a.ssf,20.0000000000,0.0720600000,3521.4970000000,80A,"801",210.9637451200,4.1687397957
0.0000000000,0.0000000000,"8","205","425",GSTAKE80,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,12:56:52PM,r091715a.ssf,30.0000000000,0.1134420000,3514.6060000000,"80","80",186.3401947000,6.4579544067
0.0000000000,0.0000000000,"9","209","429",GSTAKE70,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,12:59:34PM,r091715a.ssf,20.0000000000,0.0539140000,3521.7790000000,"70","70",225.0000000000,3.0357236862
0.0000000000,0.0000000000,"10","213","433",GSTAKE60,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:03:08PM,r091715a.ssf,22.0000000000,0.0800010000,3526.7880000000,"60","60",225.0000000000,4.0446910858
0.0000000000,0.0000000000,"11","217","437",GSTAKE50,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:06:12PM,r091715a.ssf,20.0000000000,0.0912510000,3530.3580000000,"50","50",264.8055725100,7.8609585762
0.0000000000,0.0000000000,"12","221","441",GSTAKE40,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:08:47PM,r091715a.ssf,20.0000000000,0.0899710000,3533.4100000000,"40","40",282.5288085900,12.9793500900
0.0000000000,0.0000000000,"13","225","445",GSTAKE30,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:11:13PM,r091715a.ssf,20.0000000000,0.0583640000,3536.3850000000,"30","30",225.0000000000,4.0446910858
0.0000000000,0.0000000000,"14","229","449",GSTAKE20,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:13:50PM,r091715a.ssf,21.0000000000,0.0952310000,3538.2120000000,"20","20",173.6598053000,6.4579544067
0.0000000000,0.0000000000,"15","233","453",GSTAKE10,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,01:16:51PM,r091715a.ssf,20.0000000000,0.0865530000,3533.1480000000,"10","10",155.2248535200,19.6946010590
0.0000000000,0.0000000000,"16","301","521",GSTAKE9,Skip Walker,observational-point,2.4000000000,Realtime Corrected,,09:36:54AM,r09181a.ssf,24.0000000000,0.0946380000,3527.7170000000,"9","9",194.0362548800,5.8851294518
0.0000000000,0.0000000000,"17","309","529",GSTAKE29,Skip Walker,observational-point,2.4000000000,Realtime Corrected,,09:45:18AM,r09181a.ssf,20.0000000000,0.3954180000,3531.7090000000,"29","29",265.6012878400,9.2566823959
0.0000000000,0.0000000000,"18","313","533",GSTAKE39,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,09:48:36AM,r09181a.ssf,38.0000000000,0.3369150000,3530.6280000000,"39","39",275.1944274900,7.8609585762
0.0000000000,0.0000000000,"19","317","537",GSTAKE49,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,09:51:29AM,r09181a.ssf,24.0000000000,0.1555840000,3527.1030000000,"49","49",240.9453887900,7.3333926201
0.0000000000,0.0000000000,"20","321","541",GSTAKE59,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,09:54:44AM,r09181a.ssf,23.0000000000,0.0739550000,3524.0260000000,"59","59",285.9453735400,10.3150825500
0.0000000000,0.0000000000,"21","325","545",GSTAKE69,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,09:57:19AM,r09181a.ssf,27.0000000000,0.2460400000,3518.9710000000,"69","69",215.5376892100,6.1373796463
0.0000000000,0.0000000000,"22","329","549",GSTAKE79,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,10:00:05AM,r09181a.ssf,23.0000000000,0.1375920000,3512.4080000000,"79","79",236.3099365200,5.1506524086
0.0000000000,0.0000000000,"23","333","553",GSTAKE78,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,10:03:40AM,r09181a.ssf,36.0000000000,0.1405920000,3511.9440000000,"78","78",243.4349517800,6.3793702126
0.0000000000,0.0000000000,"24","337","557",GSTAKE68,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,10:07:11AM,r09181a.ssf,23.0000000000,0.0709390000,3517.1600000000,"68","68",225.0000000000,4.0446910858
0.0000000000,0.0000000000,"25","341","561",GSTAKE58,Skip Walker,observational-point,2.1000000000,Realtime Corrected,,10:10:07AM,r09181a.ssf,23.0000000000,0.1287830000,3521.6860000000,"58","58",191.3099365200,3.6469705105
