samp_date,plot_num,soil_temp_1cm,soil_temp_5cm,soil_temp_10cm,soil_temp_15cm
1992-06-08,T1DX,15.51,5.02,3.79,3.24
1992-06-08,T1DX,11.92,4.92,2.67,2.7
1992-06-08,T1DX,11.07,5.53,3.96,3.62
1992-06-08,T2DX,12.91,3.42,2.38,2.3
1992-06-08,T2DX,11.15,5.84,2.88,2.57
1992-06-08,T2DX,9.43,4.27,3.45,2.76
1992-06-08,T3DX,13.23,6.93,4.04,3.52
1992-06-08,T3DX,11.48,4.94,3.83,3.13
1992-06-08,T3DX,9.41,6.12,3.8,3.56
1992-06-09,T1MX,8.56,3.9,2.92,2.75
1992-06-09,T1MX,11.88,4.59,3.48,3.18
1992-06-09,T1MX,8.91,4.98,3.18,2.83
1992-06-09,T2MX,8.91,5.19,3.59,3.1
1992-06-09,T2MX,10.68,6.36,3.64,3.11
1992-06-09,T2MX,9.47,6.07,4.17,4.05
1992-06-09,T3MX,9.05,3.79,2.81,2.33
1992-06-09,T3MX,7.73,5.05,3.61,2.95
1992-06-09,T3MX,6.15,4.02,2.37,1.91
1992-06-10,T1WX,1.37,0.25,0.14,-0.05
1992-06-10,T1WX,5.57,4.15,0.11,-0.18
1992-06-10,T1WX,1.58,0.09,-0.18,-0.26
1992-06-10,T2WX,1.36,-0.23,-0.21,-0.16
1992-06-10,T2WX,2.66,0.46,-0.31,-0.54
1992-06-10,T2WX,5.14,1.68,0.13,-0.07
1992-06-10,T3WX,8.88,4.23,2.48,2.16
1992-06-10,T3WX,6.18,0.94,0.17,0.04
1992-06-10,T3WX,7.47,2.54,1.47,0.68
1992-06-16,T1DX,10.73,6.54,5.18,4.8
1992-06-16,T1DX,11.66,4.82,4.42,4.12
1992-06-16,T1DX,8.28,8.84,5.14,4.69
1992-06-16,T2DX,4.21,3.52,3.43,3.3
1992-06-16,T2DX,5.89,3.77,3.31,3.28
1992-06-16,T2DX,5.16,3.47,2.76,2.72
1992-06-16,T3DX,7.7,5.73,4.88,3.92
1992-06-16,T3DX,7.44,4.76,3.96,3.46
1992-06-16,T3DX,8.6,5.07,4.47,3.81
1992-06-17,T1MX,3.12,2.52,2.89,3.45
1992-06-17,T1MX,1.03,2.31,2.86,3.07
1992-06-17,T1MX,1.59,2.91,3.15,3.33
1992-06-17,T2MX,2.62,2.71,2.92,3.04
1992-06-17,T2MX,1.12,2.29,2.69,3.01
1992-06-17,T2MX,1.72,3.25,3.36,3.44
1992-06-17,T3MX,3.11,1.58,1.59,1.93
1992-06-17,T3MX,3.39,1.31,1.37,1.52
1992-06-17,T3MX,3.16,1.97,2.23,2.36
1992-06-18,T1WX,4.15,1.52,0.28,-0.09
1992-06-18,T1WX,8.94,2.9,0.93,0.52
1992-06-18,T1WX,4.75,2.58,1.34,1.09
1992-06-18,T2WX,5.18,1.55,0.74,0.14
1992-06-18,T2WX,13.95,6.55,2.58,0.86
1992-06-18,T2WX,14.44,2.75,1.12,-0.06
1992-06-18,T3WX,NaN,7.64,3.97,2.95
1992-06-18,T3WX,13.95,10.88,5.95,2.36
1992-06-18,T3WX,13.21,4.69,2.88,1.47
1992-06-23,T1DX,16.7,13.67,9.69,8.11
1992-06-23,T1DX,14.01,10.1,7.53,7.13
1992-06-23,T1DX,15.92,9.03,7.73,6.64
1992-06-23,T2DX,18.6,12.89,6.84,5.85
1992-06-23,T2DX,19.6,8.26,6.6,5.52
1992-06-23,T2DX,20.99,19.19,7.79,6.73
1992-06-23,T3DX,21.18,17.06,7.32,6.59
1992-06-23,T3DX,20.12,11.22,7.42,6.54
1992-06-23,T3DX,28.97,12.26,9.09,7.18
1992-06-24,T1MX,10.63,8.11,6.75,6.58
1992-06-24,T1MX,11.76,8.04,6.9,6.63
1992-06-24,T1MX,13,8.51,7.27,7.08
1992-06-24,T2MX,11.15,8.74,7.12,6.43
1992-06-24,T2MX,12.85,8.04,7.17,6.47
1992-06-24,T2MX,12.58,7.78,6.01,5.37
1992-06-24,T3MX,10.02,7.48,5.58,5.06
1992-06-24,T3MX,10.28,6.64,5.04,4.6
1992-06-24,T3MX,11.74,8.16,6.71,5.82
1992-06-25,T1WX,11.82,6.27,5.44,5.26
1992-06-25,T1WX,11.95,6.56,5.93,4.57
1992-06-25,T1WX,9.85,6.25,4.95,4.4
1992-06-25,T2WX,11.61,7.95,5.75,5.05
1992-06-25,T2WX,11.28,8.84,5.81,5.38
1992-06-25,T2WX,13.43,8.14,4.62,4.46
1992-06-25,T3WX,9.85,5.92,5.03,4.13
1992-06-30,T1DX,11.67,7.45,7.42,5.35
1992-06-30,T1DX,10.28,5.84,5.65,5.43
1992-06-30,T1DX,15.84,11.09,8.08,4.94
1992-06-30,T2DX,13.89,5.43,4.81,4.67
1992-06-30,T2DX,11.37,6.08,4.7,3.8
1992-06-30,T2DX,12.52,8.72,5.33,3.94
1992-06-30,T3DX,12.98,7.67,6.6,5.43
1992-06-30,T3DX,13.47,6.8,5.03,4.74
1992-06-30,T3DX,29.44,11.22,6.01,5.33
1992-07-01,T1MX,9.27,7.91,6.48,6.15
1992-07-01,T1MX,10.26,8.44,6.75,6.2
1992-07-01,T2MX,7.92,7.71,6.07,5.67
1992-07-01,T2MX,8.74,8.3,6.49,5.95
