wyear,jja_mean1,jja_mean2,jja_mean3,season.gdd1,season.gdd2,season.gdd3,seas_start_wd
1984,6.5,6.22554347826087,6.78122651637144,20,13.5,13.6666666666667,223
1985,6.45108695652174,6.47554347826087,6.30072463768116,11,15.5,12.6666666666667,215
1986,6.7945652173913,6.62282608695652,6.58188405797101,12,11.5,14.3333333333333,246
1987,6.375,6.58478260869565,6.54021739130435,7,9.5,10,199
1988,8.44565217391304,7.41032608695652,7.20507246376812,22,14.5,13.6666666666667,225
1989,9.57608695652174,9.01086956521739,8.13224637681159,40,31,23,161
1990,7.52717391304348,8.55163043478261,8.51630434782609,19,29.5,27,234
1991,8.31521739130435,7.92119565217391,8.47282608695652,24,21.5,27.6666666666667,222
1992,7.59782608695652,7.95652173913043,7.81340579710145,17,20.5,20,210
1993,7.39673913043478,7.49728260869565,7.76992753623188,20,18.5,20.3333333333333,225
1994,6.85869565217391,7.12771739130435,7.28442028985507,14,17,17,199
1995,9.17391304347826,8.01630434782609,7.80978260869565,39,26.5,24.3333333333333,227
1996,7.79891304347826,8.48641304347826,7.94384057971015,41,40,31.3333333333333,216
1997,8.83152173913044,8.31521739130435,8.60144927536232,35,38,38.3333333333333,228
1998,7.83695652173913,8.33423913043478,8.15579710144928,26,30.5,34,230
1999,7.29347826086957,7.56521739130435,7.98731884057971,29,27.5,30,232
2000,7.81521739130435,7.55434782608696,7.64855072463768,26,27.5,27,215
2001,9.10326086956522,8.45923913043478,8.07065217391304,49,37.5,34.6666666666667,209
2002,8.76086956521739,8.9320652173913,8.55978260869565,34,41.5,36.3333333333333,218
2003,10.2608695652174,9.51086956521739,9.375,56,45,46.3333333333333,227
2004,8.84239130434783,9.55163043478261,9.28804347826087,47,51.5,45.6666666666667,172
2005,6.27173913043478,7.5570652173913,8.45833333333333,11,29,38,232
2006,8.14130434782609,7.20652173913044,7.7518115942029,27,19,28.3333333333333,225
2007,9.18478260869565,8.66304347826087,7.86594202898551,35,31,24.3333333333333,211
2008,9.38586956521739,9.28532608695652,8.90398550724638,47,41,36.3333333333333,230
2009,8.17934782608696,8.78260869565217,8.91666666666667,29,38,37,205
2010,6.90760869565217,7.54347826086957,8.15760869565217,15,22,30.3333333333333,244
2011,8.01630434782609,7.46195652173913,7.70108695652174,17,16,20.3333333333333,245
2012,9.21187235032124,8.61408834907366,8.04526179793317,54,35.5,28.6666666666667,205
2013,9.75638767513048,9.48413001272586,8.9948547910926,43,48.5,38,225
2014,9.51601217882602,9.63619992697825,9.49475740142591,48,45.5,48.3333333333333,216
2015,7.37915451483588,8.44758334683095,8.88385145626413,26,37,39,244
2016,6.53111133375995,6.95513292429791,7.80875934247395,8,17,27.3333333333333,246
2017,6.47826086956522,6.50468610166258,6.79617557272035,7,7.5,13.6666666666667,170
2018,8.8804347826087,7.67934782608696,7.29660232864462,33,20,16,218
