"point_ID","year","mean.jun.d","n.jun.meas","max.jun.day","min.jun.day"
1,1994,100,1,2,2
1,1995,217,5,26,1
1,1996,155,3,26,7
1,1997,105.666666666667,3,26,9
1,2005,97.5,2,28,14
1,2006,25,2,20,6
1,2007,30,4,26,1
1,2008,180,3,24,10
1,2009,72,5,30,4
1,2010,115,5,29,1
1,2011,242.5,4,28,7
1,2012,0,1,5,5
1,2013,67.5,2,17,3
1,2014,95,2,24,10
1,2015,102.5,2,23,9
1,2016,100,2,20,6
1,2017,202.5,2,20,6
1,2018,0,1,12,12
2,1994,100,1,2,2
2,1995,235,5,26,1
2,1996,193.333333333333,3,26,7
2,1997,106.666666666667,3,26,9
2,2005,95,2,28,14
2,2006,50,2,20,6
2,2007,8.75,4,26,1
2,2008,88.3333333333333,3,24,10
2,2009,48,5,30,4
2,2010,85,5,29,1
2,2011,270,4,28,7
2,2012,0,1,5,5
2,2013,70,2,17,3
2,2014,165,2,24,10
2,2015,87.5,2,23,9
2,2016,130,2,20,6
2,2017,145,2,20,6
2,2018,0,1,12,12
3,1994,80,1,2,2
3,1995,220,5,26,1
3,1996,168.333333333333,3,26,7
3,1997,113.666666666667,3,26,9
3,2005,65,2,28,14
3,2006,50,2,20,6
3,2007,12.5,4,26,1
3,2008,65,3,24,10
3,2009,48,5,30,4
3,2010,44,5,29,1
3,2011,310,4,28,7
3,2012,0,1,5,5
3,2013,70,2,17,3
3,2014,145,2,24,10
3,2015,55,2,23,9
3,2016,55,2,20,6
3,2017,122.5,2,20,6
3,2018,0,1,12,12
4,1994,20,1,2,2
4,1995,192,5,26,1
4,1996,151.666666666667,3,26,7
4,1997,77.3333333333333,3,26,9
4,2005,37.5,2,28,14
4,2006,30,2,20,6
4,2007,0,4,26,1
4,2008,40,3,24,10
4,2009,50,5,30,4
4,2010,20,5,29,1
4,2011,265,4,28,7
4,2012,0,1,5,5
4,2013,45,2,17,3
4,2014,112.5,2,24,10
4,2015,45,2,23,9
4,2016,25,2,20,6
4,2017,90,2,20,6
4,2018,0,1,12,12
5,1994,25,1,2,2
5,1995,203,5,26,1
5,1996,155,3,26,7
5,1997,86.6666666666667,3,26,9
5,2005,50,2,28,14
5,2006,35,2,20,6
5,2007,5,4,26,1
5,2008,41.6666666666667,3,24,10
5,2009,60,5,30,4
5,2010,23,5,29,1
5,2011,245,4,28,7
5,2012,0,1,5,5
5,2013,50,2,17,3
5,2014,102.5,2,24,10
5,2015,62.5,2,23,9
5,2016,32.5,2,20,6
5,2017,125,2,20,6
5,2018,0,1,12,12
6,1994,0,1,2,2
6,1995,201,5,26,1
6,1996,105,3,26,7
6,1997,60.6666666666667,3,26,9
6,2005,50,2,28,14
