"investigator","url","veg_class","location","plotid","subsample","plot_type","plot_size","year","NPP"
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",1,"","nodal","unknown",1982,107
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",1,"","nodal","unknown",1982,112
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",1,"","nodal","unknown",1982,120
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",1,"","nodal","unknown",1982,124
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",1,"","nodal","unknown",1982,302
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1982,89
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1982,171
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1982,175
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1982,179
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1982,268
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1982,136
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1982,142
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1982,159
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1982,160
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1982,172
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1982,38
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1982,82
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1982,85
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1982,86
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1982,97
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1982,134
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1982,167
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1982,199
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1982,208
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1982,104
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1982,202
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1982,245
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1982,271
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1982,287
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1982,163
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1982,191
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1982,214
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1982,215
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1982,247
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",12,"","nodal","unknown",1982,178
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",12,"","nodal","unknown",1982,210
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",12,"","nodal","unknown",1982,249
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",12,"","nodal","unknown",1982,257
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",12,"","nodal","unknown",1982,276
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",16,"","nodal","unknown",1982,78
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",16,"","nodal","unknown",1982,88
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",16,"","nodal","unknown",1982,89
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",16,"","nodal","unknown",1982,92
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",16,"","nodal","unknown",1982,175
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",19,"","nodal","unknown",1982,23
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",19,"","nodal","unknown",1982,32
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",19,"","nodal","unknown",1982,37
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",19,"","nodal","unknown",1982,45
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",19,"","nodal","unknown",1982,51
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",1,"","nodal","unknown",1983,105
