"plot","year","species","n.obs","GPS_HEIGHT","Aspect","Slope","max.dep","mNPP","veg_class"
1,1989,"DECE",0,3544.649,149.62088013,22.791824341,NA,159.508,"FF"
2,1989,"DECE",13,3544.236,161.56504822,13.342363358,NA,164.416,"DM"
3,1989,"DECE",0,3540.11,210.96374512,4.1687397957,NA,168.696,"MM"
4,1989,"DECE",20,3536.062,285.25512695,8.1112794876,NA,NA,NA
5,1989,"DECE",33,3533.549,285.94537354,10.31508255,NA,NA,NA
6,1989,"DECE",4,3529.299,303.69006348,5.1506524086,NA,NA,NA
7,1989,"DECE",11,3521.497,210.96374512,4.1687397957,NA,129.206,"WM"
8,1989,"DECE",11,3514.606,186.3401947,6.4579544067,NA,NA,NA
9,1989,"DECE",0,3521.779,225,3.0357236862,NA,224.156,"WM"
10,1989,"DECE",0,3526.788,225,4.0446910858,NA,289.76,"MM"
11,1989,"DECE",0,3530.358,264.80557251,7.8609585762,NA,184.024,"DM"
12,1989,"DECE",0,3533.41,282.52880859,12.97935009,NA,189.096,"FF"
13,1989,"DECE",0,3536.385,225,4.0446910858,NA,NA,NA
14,1989,"DECE",1,3538.212,173.6598053,6.4579544067,NA,NA,NA
15,1989,"DECE",27,3533.148,155.22485352,19.694601059,NA,NA,NA
16,1989,"DECE",11,3527.717,194.03625488,5.8851294518,NA,116,"SB"
17,1989,"DECE",36,3531.709,265.60128784,9.2566823959,NA,NA,NA
18,1989,"DECE",2,3530.628,275.19442749,7.8609585762,NA,NA,NA
19,1989,"DECE",0,3527.103,240.94538879,7.3333926201,NA,84.054,"SB"
20,1989,"DECE",0,3524.026,285.94537354,10.31508255,NA,NA,NA
21,1989,"DECE",0,3518.971,215.53768921,6.1373796463,NA,NA,NA
22,1989,"DECE",59,3512.408,236.30993652,5.1506524086,NA,NA,NA
23,1989,"DECE",6,3511.944,243.43495178,6.3793702126,NA,NA,NA
24,1989,"DECE",0,3517.16,225,4.0446910858,NA,NA,NA
25,1989,"DECE",15,3521.686,191.30993652,3.6469705105,NA,NA,NA
26,1989,"DECE",23,3526.429,285.25512695,8.1112794876,NA,NA,NA
27,1989,"DECE",17,3529.372,251.56504822,6.762860775,NA,NA,NA
28,1989,"DECE",5,3530.168,270,11.309932709,NA,NA,NA
29,1989,"DECE",0,3530.375,265.60128784,9.2566823959,NA,NA,NA
30,1989,"DECE",0,3528.276,255.96376038,11.648634911,NA,NA,NA
31,1989,"DECE",0,3528.942,225,8.0494670868,NA,NA,NA
32,1989,"DECE",0,3529.224,280.00799561,12.176778793,NA,NA,NA
33,1989,"DECE",1,3528.547,285.94537354,10.31508255,NA,NA,NA
34,1989,"DECE",0,3524.492,185.19442749,15.436640739,NA,NA,NA
35,1989,"DECE",6,3520.78,237.52880859,9.2566823959,NA,NA,NA
36,1989,"DECE",35,3516.616,219.28941345,10.073966026,NA,NA,NA
37,1989,"DECE",0,3508.36,243.43495178,6.3793702126,NA,NA,NA
38,1989,"DECE",40,3510.108,292.16635132,20.023485184,NA,NA,NA
39,1989,"DECE",0,3515.949,259.69515991,15.616129875,NA,NA,NA
40,1989,"DECE",0,3521.797,242.35401917,16.506227493,NA,NA,NA
41,1989,"DECE",0,3526.629,270,12.680383682,NA,NA,NA
42,1989,"DECE",0,3531.258,205.01689148,11.690207481,NA,NA,NA
43,1989,"DECE",26,3532.759,277.125,11.395654678,NA,NA,NA
