"LTER_site","local_site","year","plot","point","x","y","hit_orig","USDA_code","USDA_name","hit_corr"
"NWT","sad_grid",1989,2,101,5,5,"bottom","DECE","Deschampsia cespitosa","top"
"NWT","sad_grid",1989,2,102,15,5,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,103,25,5,"top","DECE","Deschampsia cespitosa","top"
"NWT","sad_grid",1989,2,104,35,5,"bottom","DECE","Deschampsia cespitosa","top"
"NWT","sad_grid",1989,2,107,65,5,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,108,75,5,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,110,95,5,"top","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,111,5,15,"top","DECE","Deschampsia cespitosa","top"
"NWT","sad_grid",1989,2,114,35,15,"top","DECE","Deschampsia cespitosa","top"
"NWT","sad_grid",1989,2,115,45,15,"top","DECE","Deschampsia cespitosa","top"
"NWT","sad_grid",1989,2,117,65,15,"bottom","DECE","Deschampsia cespitosa","top"
"NWT","sad_grid",1989,2,122,15,25,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,123,25,25,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,124,35,25,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,126,55,25,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,128,75,25,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,129,85,25,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,134,35,35,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,137,65,35,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,138,75,35,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,139,85,35,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,141,5,45,"bottom","DECE","Deschampsia cespitosa","top"
"NWT","sad_grid",1989,2,145,45,45,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,146,55,45,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,154,35,55,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,155,45,55,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,156,55,55,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,160,95,55,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,161,5,65,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,166,55,65,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,170,95,65,"top","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,171,5,75,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,172,15,75,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,173,25,75,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,174,35,75,"top","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,175,45,75,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,176,55,75,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,179,85,75,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,180,95,75,"top","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,181,5,85,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,182,15,85,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,183,25,85,"bottom","DECE","Deschampsia cespitosa","top"
"NWT","sad_grid",1989,2,185,45,85,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,187,65,85,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,190,95,85,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,191,5,95,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,2,192,15,95,"bottom","DECE","Deschampsia cespitosa","top"
"NWT","sad_grid",1989,2,195,45,95,"bottom","DECE","Deschampsia cespitosa","top"
"NWT","sad_grid",1989,2,196,55,95,"bottom","DECE","Deschampsia cespitosa","top"
"NWT","sad_grid",1989,2,198,75,95,"bottom","DECE","Deschampsia cespitosa","top"
"NWT","sad_grid",1989,2,199,85,95,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,202,15,5,"top","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,203,25,5,"top","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,204,35,5,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,205,45,5,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,207,65,5,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,208,75,5,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,209,85,5,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,211,5,15,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,212,15,15,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,213,25,15,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,214,35,15,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,215,45,15,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,216,55,15,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,217,65,15,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,218,75,15,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,219,85,15,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,220,95,15,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,222,15,25,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,223,25,25,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,224,35,25,"top","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,225,45,25,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,227,65,25,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,228,75,25,"top","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,229,85,25,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,230,95,25,"top","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,231,5,35,"top","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,232,15,35,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,233,25,35,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,234,35,35,"top","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,235,45,35,"bottom","GEROT","Geum rossii var. turbinatum","top"
"NWT","sad_grid",1989,3,236,55,35,"top","GEROT","Geum rossii var. turbinatum","top"
