LTER_site,local_site,point_ID,date,depth_stake,depth_n,depth_e,depth_s,depth_w,mean_depth,num_meas,year,month,seas,jd,mod
NWT,sdl,7,1996-01-11,5,NA,NA,NA,NA,5,1,1996,1,1996,101,a1.csv
NWT,sdl,8,1996-01-11,10,NA,NA,NA,NA,10,1,1996,1,1996,101,a1.csv
NWT,sdl,18,1996-01-11,10,NA,NA,NA,NA,10,1,1996,1,1996,101,a1.csv
NWT,sdl,22,1996-01-11,185,NA,NA,NA,NA,185,1,1996,1,1996,101,a1.csv
NWT,sdl,37,1996-01-11,60,NA,NA,NA,NA,60,1,1996,1,1996,101,a1.csv
NWT,sdl,45,1996-01-11,275,NA,NA,NA,NA,275,1,1996,1,1996,101,a1.csv
NWT,sdl,57,1996-01-11,35,NA,NA,NA,NA,35,1,1996,1,1996,101,a1.csv
NWT,sdl,101,1996-01-11,0,NA,NA,NA,NA,0,1,1996,1,1996,101,a1.csv
NWT,sdl,7,1996-01-28,60,NA,NA,NA,NA,60,1,1996,1,1996,118,a1.csv
NWT,sdl,8,1996-01-28,0,NA,NA,NA,NA,0,1,1996,1,1996,118,a1.csv
NWT,sdl,18,1996-01-28,0,NA,NA,NA,NA,0,1,1996,1,1996,118,a1.csv
NWT,sdl,22,1996-01-28,305,NA,NA,NA,NA,305,1,1996,1,1996,118,a1.csv
NWT,sdl,37,1996-01-28,100,NA,NA,NA,NA,100,1,1996,1,1996,118,a1.csv
NWT,sdl,45,1996-01-28,325,NA,NA,NA,NA,325,1,1996,1,1996,118,a1.csv
NWT,sdl,57,1996-01-28,30,NA,NA,NA,NA,30,1,1996,1,1996,118,a1.csv
NWT,sdl,101,1996-01-28,0,NA,NA,NA,NA,0,1,1996,1,1996,118,a1.csv
NWT,sdl,7,1996-02-28,80,NA,NA,NA,NA,80,1,1996,2,1996,149,a1.csv
NWT,sdl,8,1996-02-28,35,NA,NA,NA,NA,35,1,1996,2,1996,149,a1.csv
NWT,sdl,18,1996-02-28,5,NA,NA,NA,NA,5,1,1996,2,1996,149,a1.csv
NWT,sdl,22,1996-02-28,345,NA,NA,NA,NA,345,1,1996,2,1996,149,a1.csv
NWT,sdl,37,1996-02-28,95,NA,NA,NA,NA,95,1,1996,2,1996,149,a1.csv
NWT,sdl,45,1996-02-28,365,NA,NA,NA,NA,365,1,1996,2,1996,149,a1.csv
NWT,sdl,57,1996-02-28,90,NA,NA,NA,NA,90,1,1996,2,1996,149,a1.csv
NWT,sdl,101,1996-02-28,0,NA,NA,NA,NA,0,1,1996,2,1996,149,a1.csv
NWT,sdl,7,1996-03-13,75,NA,NA,NA,NA,75,1,1996,3,1996,163,a1.csv
NWT,sdl,8,1996-03-13,20,NA,NA,NA,NA,20,1,1996,3,1996,163,a1.csv
NWT,sdl,18,1996-03-13,10,NA,NA,NA,NA,10,1,1996,3,1996,163,a1.csv
NWT,sdl,22,1996-03-13,360,NA,NA,NA,NA,360,1,1996,3,1996,163,a1.csv
NWT,sdl,37,1996-03-13,110,NA,NA,NA,NA,110,1,1996,3,1996,163,a1.csv
NWT,sdl,45,1996-03-13,450,NA,NA,NA,NA,450,1,1996,3,1996,163,a1.csv
NWT,sdl,57,1996-03-13,95,NA,NA,NA,NA,95,1,1996,3,1996,163,a1.csv
NWT,sdl,101,1996-03-13,0,NA,NA,NA,NA,0,1,1996,3,1996,163,a1.csv
NWT,sdl,7,1996-03-27,85,NA,NA,NA,NA,85,1,1996,3,1996,177,a1.csv
NWT,sdl,8,1996-03-27,30,NA,NA,NA,NA,30,1,1996,3,1996,177,a1.csv
NWT,sdl,18,1996-03-27,10,NA,NA,NA,NA,10,1,1996,3,1996,177,a1.csv
NWT,sdl,22,1996-03-27,280,NA,NA,NA,NA,280,1,1996,3,1996,177,a1.csv
NWT,sdl,37,1996-03-27,130,NA,NA,NA,NA,130,1,1996,3,1996,177,a1.csv
NWT,sdl,45,1996-03-27,485,NA,NA,NA,NA,485,1,1996,3,1996,177,a1.csv
NWT,sdl,57,1996-03-27,130,NA,NA,NA,NA,130,1,1996,3,1996,177,a1.csv
NWT,sdl,101,1996-03-27,0,NA,NA,NA,NA,0,1,1996,3,1996,177,a1.csv
NWT,sdl,7,1996-05-09,80,NA,NA,NA,NA,80,1,1996,5,1996,220,a1.csv
