"LTER_site","local_site","point_ID","date","depth_stake","depth_n","depth_e","depth_s","depth_w","mean_depth","num_meas","year","month","seas","jd"
"NWT","sdl","7","1993-11-02",10,NA,NA,NA,NA,10,1,1993,11,"1994",32
"NWT","sdl","8","1993-11-02",7,NA,NA,NA,NA,7,1,1993,11,"1994",32
"NWT","sdl","18","1993-11-02",5,NA,NA,NA,NA,5,1,1993,11,"1994",32
"NWT","sdl","22","1993-11-02",50,NA,NA,NA,NA,50,1,1993,11,"1994",32
"NWT","sdl","37","1993-11-02",50,NA,NA,NA,NA,50,1,1993,11,"1994",32
"NWT","sdl","45","1993-11-02",70,NA,NA,NA,NA,70,1,1993,11,"1994",32
"NWT","sdl","57","1993-11-02",20,NA,NA,NA,NA,20,1,1993,11,"1994",32
"NWT","sdl","101","1993-11-02",0,NA,NA,NA,NA,0,1,1993,11,"1994",32
"NWT","sdl","7","1993-11-20",10,10,20,10,10,12,5,1993,11,"1994",50
"NWT","sdl","8","1993-11-20",5,10,15,25,10,13,5,1993,11,"1994",50
"NWT","sdl","18","1993-11-20",5,5,10,10,10,8,5,1993,11,"1994",50
"NWT","sdl","22","1993-11-20",78,NA,NA,NA,NA,78,1,1993,11,"1994",50
"NWT","sdl","37","1993-11-20",70,50,45,55,50,54,5,1993,11,"1994",50
"NWT","sdl","45","1993-11-20",110,NA,NA,NA,NA,110,1,1993,11,"1994",50
"NWT","sdl","57","1993-11-20",20,10,10,10,10,12,5,1993,11,"1994",50
"NWT","sdl","101","1993-11-20",9,NA,NA,NA,NA,9,1,1993,11,"1994",50
"NWT","sdl","7","1993-12-11",10,5,15,5,5,8,5,1993,12,"1994",71
"NWT","sdl","8","1993-12-11",5,0,10,5,0,4,5,1993,12,"1994",71
"NWT","sdl","18","1993-12-11",5,15,5,5,10,8,5,1993,12,"1994",71
"NWT","sdl","22","1993-12-11",42,NA,NA,NA,NA,42,1,1993,12,"1994",71
"NWT","sdl","37","1993-12-11",40,25,25,20,30,28,5,1993,12,"1994",71
"NWT","sdl","45","1993-12-11",147,NA,NA,NA,NA,147,1,1993,12,"1994",71
"NWT","sdl","57","1993-12-11",15,15,20,5,20,15,5,1993,12,"1994",71
"NWT","sdl","101","1993-12-11",5,0,0,0,0,1,5,1993,12,"1994",71
"NWT","sdl","7","1993-12-30",7,NA,NA,NA,NA,7,1,1993,12,"1994",90
"NWT","sdl","8","1993-12-30",5,NA,NA,NA,NA,5,1,1993,12,"1994",90
"NWT","sdl","18","1993-12-30",5,NA,NA,NA,NA,5,1,1993,12,"1994",90
"NWT","sdl","22","1993-12-30",88,NA,NA,NA,NA,88,1,1993,12,"1994",90
"NWT","sdl","37","1993-12-30",45,NA,NA,NA,NA,45,1,1993,12,"1994",90
"NWT","sdl","45","1993-12-30",145,NA,NA,NA,NA,145,1,1993,12,"1994",90
"NWT","sdl","57","1993-12-30",10,5,10,5,2,6,5,1993,12,"1994",90
"NWT","sdl","101","1993-12-30",1,2,0,1,0,1,5,1993,12,"1994",90
"NWT","sdl","7","1994-01-15",5,NA,NA,NA,NA,5,1,1994,1,"1994",108
"NWT","sdl","8","1994-01-15",0,NA,NA,NA,NA,0,1,1994,1,"1994",108
"NWT","sdl","18","1994-01-15",0,NA,NA,NA,NA,0,1,1994,1,"1994",108
"NWT","sdl","22","1994-01-15",90,NA,NA,NA,NA,90,1,1994,1,"1994",108
