"LTER_site","local_site","point_ID","date","depth_stake","depth_n","depth_e","depth_s","depth_w","mean_depth","num_meas","year","month","seas","jd"
"NWT","sdl","11","1996-01-11",245,NA,NA,NA,NA,245,1,1996,1,"1996",101
"NWT","sdl","12","1996-01-11",195,NA,NA,NA,NA,195,1,1996,1,"1996",101
"NWT","sdl","13","1996-01-11",235,NA,NA,NA,NA,235,1,1996,1,"1996",101
"NWT","sdl","28","1996-01-11",135,NA,NA,NA,NA,135,1,1996,1,"1996",101
"NWT","sdl","29","1996-01-11",0,NA,NA,NA,NA,0,1,1996,1,"1996",101
"NWT","sdl","51","1996-01-11",50,NA,NA,NA,NA,50,1,1996,1,"1996",101
"NWT","sdl","79","1996-01-11",0,NA,NA,NA,NA,0,1,1996,1,"1996",101
"NWT","sdl","801","1996-01-11",0,NA,NA,NA,NA,0,1,1996,1,"1996",101
"NWT","sdl","11","1996-01-28",280,NA,NA,NA,NA,280,1,1996,1,"1996",118
"NWT","sdl","12","1996-01-28",275,NA,NA,NA,NA,275,1,1996,1,"1996",118
"NWT","sdl","13","1996-01-28",240,NA,NA,NA,NA,240,1,1996,1,"1996",118
"NWT","sdl","28","1996-01-28",120,NA,NA,NA,NA,120,1,1996,1,"1996",118
"NWT","sdl","29","1996-01-28",0,NA,NA,NA,NA,0,1,1996,1,"1996",118
"NWT","sdl","51","1996-01-28",50,NA,NA,NA,NA,50,1,1996,1,"1996",118
"NWT","sdl","79","1996-01-28",30,NA,NA,NA,NA,30,1,1996,1,"1996",118
"NWT","sdl","801","1996-01-28",0,NA,NA,NA,NA,0,1,1996,1,"1996",118
"NWT","sdl","11","1996-02-28",330,NA,NA,NA,NA,330,1,1996,2,"1996",149
"NWT","sdl","12","1996-02-28",300,NA,NA,NA,NA,300,1,1996,2,"1996",149
"NWT","sdl","13","1996-02-28",365,NA,NA,NA,NA,365,1,1996,2,"1996",149
"NWT","sdl","28","1996-02-28",100,NA,NA,NA,NA,100,1,1996,2,"1996",149
"NWT","sdl","29","1996-02-28",10,NA,NA,NA,NA,10,1,1996,2,"1996",149
"NWT","sdl","51","1996-02-28",55,NA,NA,NA,NA,55,1,1996,2,"1996",149
"NWT","sdl","79","1996-02-28",50,NA,NA,NA,NA,50,1,1996,2,"1996",149
"NWT","sdl","801","1996-02-28",10,NA,NA,NA,NA,10,1,1996,2,"1996",149
"NWT","sdl","11","1996-03-13",180,NA,NA,NA,NA,180,1,1996,3,"1996",163
"NWT","sdl","12","1996-03-13",280,NA,NA,NA,NA,280,1,1996,3,"1996",163
"NWT","sdl","13","1996-03-13",350,NA,NA,NA,NA,350,1,1996,3,"1996",163
"NWT","sdl","29","1996-03-13",0,NA,NA,NA,NA,0,1,1996,3,"1996",163
"NWT","sdl","51","1996-03-13",110,NA,NA,NA,NA,110,1,1996,3,"1996",163
"NWT","sdl","79","1996-03-13",10,NA,NA,NA,NA,10,1,1996,3,"1996",163
"NWT","sdl","801","1996-03-13",0,NA,NA,NA,NA,0,1,1996,3,"1996",163
"NWT","sdl","11","1996-03-27",340,NA,NA,NA,NA,340,1,1996,3,"1996",177
"NWT","sdl","12","1996-03-27",330,NA,NA,NA,NA,330,1,1996,3,"1996",177
"NWT","sdl","13","1996-03-27",420,NA,NA,NA,NA,420,1,1996,3,"1996",177
"NWT","sdl","28","1996-03-27",130,NA,NA,NA,NA,130,1,1996,3,"1996",177
"NWT","sdl","29","1996-03-27",0,NA,NA,NA,NA,0,1,1996,3,"1996",177
"NWT","sdl","51","1996-03-27",120,NA,NA,NA,NA,120,1,1996,3,"1996",177
"NWT","sdl","79","1996-03-27",25,NA,NA,NA,NA,25,1,1996,3,"1996",177
