"LTER_site","local_site","point_ID","date","depth_stake","depth_n","depth_e","depth_s","depth_w","mean_depth","num_meas","year","month","seas","jd"
"NWT","sdl","9","1996-01-11",10,NA,NA,NA,NA,10,1,1996,1,"1996",101
"NWT","sdl","14","1996-01-11",205,NA,NA,NA,NA,205,1,1996,1,"1996",101
"NWT","sdl","25","1996-01-11",110,NA,NA,NA,NA,110,1,1996,1,"1996",101
"NWT","sdl","26","1996-01-11",80,NA,NA,NA,NA,80,1,1996,1,"1996",101
"NWT","sdl","40","1996-01-11",0,NA,NA,NA,NA,0,1,1996,1,"1996",101
"NWT","sdl","59","1996-01-11",5,NA,NA,NA,NA,5,1,1996,1,"1996",101
"NWT","sdl","70","1996-01-11",0,NA,NA,NA,NA,0,1,1996,1,"1996",101
"NWT","sdl","201","1996-01-11",0,NA,NA,NA,NA,0,1,1996,1,"1996",101
"NWT","sdl","9","1996-01-28",10,NA,NA,NA,NA,10,1,1996,1,"1996",118
"NWT","sdl","14","1996-01-28",245,NA,NA,NA,NA,245,1,1996,1,"1996",118
"NWT","sdl","25","1996-01-28",200,NA,NA,NA,NA,200,1,1996,1,"1996",118
"NWT","sdl","26","1996-01-28",90,NA,NA,NA,NA,90,1,1996,1,"1996",118
"NWT","sdl","40","1996-01-28",0,NA,NA,NA,NA,0,1,1996,1,"1996",118
"NWT","sdl","59","1996-01-28",0,NA,NA,NA,NA,0,1,1996,1,"1996",118
"NWT","sdl","70","1996-01-28",10,NA,NA,NA,NA,10,1,1996,1,"1996",118
"NWT","sdl","201","1996-01-28",0,NA,NA,NA,NA,0,1,1996,1,"1996",118
"NWT","sdl","9","1996-02-28",40,NA,NA,NA,NA,40,1,1996,2,"1996",149
"NWT","sdl","14","1996-02-28",320,NA,NA,NA,NA,320,1,1996,2,"1996",149
"NWT","sdl","25","1996-02-28",210,NA,NA,NA,NA,210,1,1996,2,"1996",149
"NWT","sdl","26","1996-02-28",100,NA,NA,NA,NA,100,1,1996,2,"1996",149
"NWT","sdl","40","1996-02-28",10,NA,NA,NA,NA,10,1,1996,2,"1996",149
"NWT","sdl","59","1996-02-28",40,NA,NA,NA,NA,40,1,1996,2,"1996",149
"NWT","sdl","70","1996-02-28",10,NA,NA,NA,NA,10,1,1996,2,"1996",149
"NWT","sdl","201","1996-02-28",0,NA,NA,NA,NA,0,1,1996,2,"1996",149
"NWT","sdl","9","1996-03-13",10,NA,NA,NA,NA,10,1,1996,3,"1996",163
"NWT","sdl","14","1996-03-13",330,NA,NA,NA,NA,330,1,1996,3,"1996",163
"NWT","sdl","25","1996-03-13",255,NA,NA,NA,NA,255,1,1996,3,"1996",163
"NWT","sdl","26","1996-03-13",155,NA,NA,NA,NA,155,1,1996,3,"1996",163
"NWT","sdl","40","1996-03-13",0,NA,NA,NA,NA,0,1,1996,3,"1996",163
"NWT","sdl","59","1996-03-13",0,NA,NA,NA,NA,0,1,1996,3,"1996",163
"NWT","sdl","70","1996-03-13",0,NA,NA,NA,NA,0,1,1996,3,"1996",163
"NWT","sdl","201","1996-03-13",0,NA,NA,NA,NA,0,1,1996,3,"1996",163
"NWT","sdl","9","1996-03-27",40,NA,NA,NA,NA,40,1,1996,3,"1996",177
"NWT","sdl","14","1996-03-27",370,NA,NA,NA,NA,370,1,1996,3,"1996",177
"NWT","sdl","25","1996-03-27",255,NA,NA,NA,NA,255,1,1996,3,"1996",177
"NWT","sdl","26","1996-03-27",110,NA,NA,NA,NA,110,1,1996,3,"1996",177
"NWT","sdl","40","1996-03-27",0,NA,NA,NA,NA,0,1,1996,3,"1996",177
"NWT","sdl","59","1996-03-27",20,NA,NA,NA,NA,20,1,1996,3,"1996",177
"NWT","sdl","70","1996-03-27",0,NA,NA,NA,NA,0,1,1996,3,"1996",177
"NWT","sdl","201","1996-03-27",0,NA,NA,NA,NA,0,1,1996,3,"1996",177
