"LTER_site","local_site","point_ID","date","depth_stake","depth_n","depth_e","depth_s","depth_w","mean_depth","num_meas","year","month","seas","jd"
"NWT","sdl","3","1996-01-11",145,NA,NA,NA,NA,145,1,1996,1,"1996",101
"NWT","sdl","21","1996-01-11",295,NA,NA,NA,NA,295,1,1996,1,"1996",101
"NWT","sdl","24","1996-01-11",245,NA,NA,NA,NA,245,1,1996,1,"1996",101
"NWT","sdl","50","1996-01-11",0,NA,NA,NA,NA,0,1,1996,1,"1996",101
"NWT","sdl","62","1996-01-11",90,NA,NA,NA,NA,90,1,1996,1,"1996",101
"NWT","sdl","65","1996-01-11",280,NA,NA,NA,NA,280,1,1996,1,"1996",101
"NWT","sdl","72","1996-01-11",20,NA,NA,NA,NA,20,1,1996,1,"1996",101
"NWT","sdl","76","1996-01-11",330,NA,NA,NA,NA,330,1,1996,1,"1996",101
"NWT","sdl","3","1996-01-28",230,NA,NA,NA,NA,230,1,1996,1,"1996",118
"NWT","sdl","21","1996-01-28",270,NA,NA,NA,NA,270,1,1996,1,"1996",118
"NWT","sdl","24","1996-01-28",320,NA,NA,NA,NA,320,1,1996,1,"1996",118
"NWT","sdl","50","1996-01-28",0,NA,NA,NA,NA,0,1,1996,1,"1996",118
"NWT","sdl","62","1996-01-28",140,NA,NA,NA,NA,140,1,1996,1,"1996",118
"NWT","sdl","65","1996-01-28",305,NA,NA,NA,NA,305,1,1996,1,"1996",118
"NWT","sdl","72","1996-01-28",80,NA,NA,NA,NA,80,1,1996,1,"1996",118
"NWT","sdl","76","1996-01-28",360,NA,NA,NA,NA,360,1,1996,1,"1996",118
"NWT","sdl","3","1996-02-28",290,NA,NA,NA,NA,290,1,1996,2,"1996",149
"NWT","sdl","21","1996-02-28",320,NA,NA,NA,NA,320,1,1996,2,"1996",149
"NWT","sdl","24","1996-02-28",350,NA,NA,NA,NA,350,1,1996,2,"1996",149
"NWT","sdl","50","1996-02-28",10,NA,NA,NA,NA,10,1,1996,2,"1996",149
"NWT","sdl","62","1996-02-28",220,NA,NA,NA,NA,220,1,1996,2,"1996",149
"NWT","sdl","65","1996-02-28",520,NA,NA,NA,NA,520,1,1996,2,"1996",149
"NWT","sdl","72","1996-02-28",140,NA,NA,NA,NA,140,1,1996,2,"1996",149
