"LTER_site","local_site","point_ID","date","depth_stake","depth_n","depth_e","depth_s","depth_w","mean_depth","num_meas","year","month","seas","jd"
"NWT","sdl","15","1992-10-30",6,NA,NA,NA,NA,6,1,1992,10,"1993",29
"NWT","sdl","17","1992-10-30",12,NA,NA,NA,NA,12,1,1992,10,"1993",29
"NWT","sdl","20","1992-10-30",5,NA,NA,NA,NA,5,1,1992,10,"1993",29
"NWT","sdl","35","1992-10-30",4,NA,NA,NA,NA,4,1,1992,10,"1993",29
"NWT","sdl","58","1992-10-30",5,NA,NA,NA,NA,5,1,1992,10,"1993",29
"NWT","sdl","61","1992-10-30",16,NA,NA,NA,NA,16,1,1992,10,"1993",29
"NWT","sdl","69","1992-10-30",9,NA,NA,NA,NA,9,1,1992,10,"1993",29
"NWT","sdl","301","1992-10-30",25,NA,NA,NA,NA,25,1,1992,10,"1993",29
"NWT","sdl","15","1992-11-14",25,NA,NA,NA,NA,25,1,1992,11,"1993",44
"NWT","sdl","17","1992-11-14",10,NA,NA,NA,NA,10,1,1992,11,"1993",44
"NWT","sdl","20","1992-11-14",5,NA,NA,NA,NA,5,1,1992,11,"1993",44
"NWT","sdl","35","1992-11-14",25,NA,NA,NA,NA,25,1,1992,11,"1993",44
"NWT","sdl","58","1992-11-14",25,NA,NA,NA,NA,25,1,1992,11,"1993",44
"NWT","sdl","61","1992-11-14",20,NA,NA,NA,NA,20,1,1992,11,"1993",44
"NWT","sdl","69","1992-11-14",5,NA,NA,NA,NA,5,1,1992,11,"1993",44
"NWT","sdl","301","1992-11-14",25,NA,NA,NA,NA,25,1,1992,11,"1993",44
"NWT","sdl","15","1992-11-27",35,NA,NA,NA,NA,35,1,1992,11,"1993",57
"NWT","sdl","17","1992-11-27",20,NA,NA,NA,NA,20,1,1992,11,"1993",57
"NWT","sdl","20","1992-11-27",5,NA,NA,NA,NA,5,1,1992,11,"1993",57
"NWT","sdl","35","1992-11-27",65,NA,NA,NA,NA,65,1,1992,11,"1993",57
"NWT","sdl","58","1992-11-27",10,NA,NA,NA,NA,10,1,1992,11,"1993",57
"NWT","sdl","61","1992-11-27",26,NA,NA,NA,NA,26,1,1992,11,"1993",57
"NWT","sdl","69","1992-11-27",10,NA,NA,NA,NA,10,1,1992,11,"1993",57
"NWT","sdl","301","1992-11-27",25,NA,NA,NA,NA,25,1,1992,11,"1993",57
