"LTER_site","local_site","point_ID","date","depth_stake","depth_n","depth_e","depth_s","depth_w","mean_depth","num_meas","year","month","seas","jd"
"NWT","sdl","1","1996-01-11",230,NA,NA,NA,NA,230,1,1996,1,"1996",101
"NWT","sdl","10","1996-01-11",0,NA,NA,NA,NA,0,1,1996,1,"1996",101
"NWT","sdl","31","1996-01-11",155,NA,NA,NA,NA,155,1,1996,1,"1996",101
"NWT","sdl","39","1996-01-11",5,NA,NA,NA,NA,5,1,1996,1,"1996",101
"NWT","sdl","42","1996-01-11",155,NA,NA,NA,NA,155,1,1996,1,"1996",101
"NWT","sdl","54","1996-01-11",200,NA,NA,NA,NA,200,1,1996,1,"1996",101
"NWT","sdl","74","1996-01-11",310,NA,NA,NA,NA,310,1,1996,1,"1996",101
"NWT","sdl","501","1996-01-11",0,NA,NA,NA,NA,0,1,1996,1,"1996",101
"NWT","sdl","1","1996-01-28",235,NA,NA,NA,NA,235,1,1996,1,"1996",118
"NWT","sdl","10","1996-01-28",0,NA,NA,NA,NA,0,1,1996,1,"1996",118
"NWT","sdl","31","1996-01-28",185,NA,NA,NA,NA,185,1,1996,1,"1996",118
"NWT","sdl","39","1996-01-28",0,NA,NA,NA,NA,0,1,1996,1,"1996",118
"NWT","sdl","42","1996-01-28",265,NA,NA,NA,NA,265,1,1996,1,"1996",118
"NWT","sdl","54","1996-01-28",355,NA,NA,NA,NA,355,1,1996,1,"1996",118
"NWT","sdl","74","1996-01-28",360,NA,NA,NA,NA,360,1,1996,1,"1996",118
"NWT","sdl","501","1996-01-28",0,NA,NA,NA,NA,0,1,1996,1,"1996",118
"NWT","sdl","1","1996-02-28",270,NA,NA,NA,NA,270,1,1996,2,"1996",149
"NWT","sdl","10","1996-02-28",0,NA,NA,NA,NA,0,1,1996,2,"1996",149
"NWT","sdl","31","1996-02-28",250,NA,NA,NA,NA,250,1,1996,2,"1996",149
"NWT","sdl","39","1996-02-28",10,NA,NA,NA,NA,10,1,1996,2,"1996",149
