"LTER_site","local_site","point_ID","date","depth_stake","depth_n","depth_e","depth_s","depth_w","mean_depth","num_meas","year","month","seas","jd"
"NWT","sdl","2","1996-01-11",150,NA,NA,NA,NA,150,1,1996,1,"1996",101
"NWT","sdl","4","1996-01-11",145,NA,NA,NA,NA,145,1,1996,1,"1996",101
"NWT","sdl","5","1996-01-11",170,NA,NA,NA,NA,170,1,1996,1,"1996",101
"NWT","sdl","49","1996-01-11",10,NA,NA,NA,NA,10,1,1996,1,"1996",101
"NWT","sdl","60","1996-01-11",0,NA,NA,NA,NA,0,1,1996,1,"1996",101
"NWT","sdl","63","1996-01-11",245,NA,NA,NA,NA,245,1,1996,1,"1996",101
"NWT","sdl","68","1996-01-11",10,NA,NA,NA,NA,10,1,1996,1,"1996",101
"NWT","sdl","71","1996-01-11",40,NA,NA,NA,NA,40,1,1996,1,"1996",101
"NWT","sdl","2","1996-01-28",270,NA,NA,NA,NA,270,1,1996,1,"1996",118
"NWT","sdl","4","1996-01-28",190,NA,NA,NA,NA,190,1,1996,1,"1996",118
"NWT","sdl","5","1996-01-28",190,NA,NA,NA,NA,190,1,1996,1,"1996",118
"NWT","sdl","49","1996-01-28",0,NA,NA,NA,NA,0,1,1996,1,"1996",118
"NWT","sdl","60","1996-01-28",10,NA,NA,NA,NA,10,1,1996,1,"1996",118
"NWT","sdl","63","1996-01-28",270,NA,NA,NA,NA,270,1,1996,1,"1996",118
"NWT","sdl","68","1996-01-28",40,NA,NA,NA,NA,40,1,1996,1,"1996",118
"NWT","sdl","71","1996-01-28",50,NA,NA,NA,NA,50,1,1996,1,"1996",118
"NWT","sdl","2","1996-02-28",310,NA,NA,NA,NA,310,1,1996,2,"1996",149
"NWT","sdl","4","1996-02-28",255,NA,NA,NA,NA,255,1,1996,2,"1996",149
"NWT","sdl","5","1996-02-28",250,NA,NA,NA,NA,250,1,1996,2,"1996",149
"NWT","sdl","49","1996-02-28",50,NA,NA,NA,NA,50,1,1996,2,"1996",149
"NWT","sdl","60","1996-02-28",40,NA,NA,NA,NA,40,1,1996,2,"1996",149
"NWT","sdl","63","1996-02-28",305,NA,NA,NA,NA,305,1,1996,2,"1996",149
