"LTER_site","local_site","point_ID","date","depth_stake","depth_n","depth_e","depth_s","depth_w","mean_depth","num_meas","year","month","seas","jd"
"NWT","sdl","6","1992-10-30",8,NA,NA,NA,NA,8,1,1992,10,"1993",29
"NWT","sdl","23","1992-10-30",11,NA,NA,NA,NA,11,1,1992,10,"1993",29
"NWT","sdl","36","1992-10-30",7,NA,NA,NA,NA,7,1,1992,10,"1993",29
"NWT","sdl","43","1992-10-30",8,NA,NA,NA,NA,8,1,1992,10,"1993",29
"NWT","sdl","44","1992-10-30",15,NA,NA,NA,NA,15,1,1992,10,"1993",29
"NWT","sdl","48","1992-10-30",5,NA,NA,NA,NA,5,1,1992,10,"1993",29
"NWT","sdl","53","1992-10-30",6,NA,NA,NA,NA,6,1,1992,10,"1993",29
"NWT","sdl","55","1992-10-30",10,NA,NA,NA,NA,10,1,1992,10,"1993",29
"NWT","sdl","6","1992-11-14",30,NA,NA,NA,NA,30,1,1992,11,"1993",44
"NWT","sdl","23","1992-11-14",100,NA,NA,NA,NA,100,1,1992,11,"1993",44
"NWT","sdl","36","1992-11-14",10,NA,NA,NA,NA,10,1,1992,11,"1993",44
"NWT","sdl","43","1992-11-14",100,NA,NA,NA,NA,100,1,1992,11,"1993",44
"NWT","sdl","44","1992-11-14",90,NA,NA,NA,NA,90,1,1992,11,"1993",44
"NWT","sdl","48","1992-11-14",5,NA,NA,NA,NA,5,1,1992,11,"1993",44
"NWT","sdl","53","1992-11-14",60,NA,NA,NA,NA,60,1,1992,11,"1993",44
"NWT","sdl","55","1992-11-14",70,NA,NA,NA,NA,70,1,1992,11,"1993",44
"NWT","sdl","6","1992-11-27",40,NA,NA,NA,NA,40,1,1992,11,"1993",57
"NWT","sdl","23","1992-11-27",120,NA,NA,NA,NA,120,1,1992,11,"1993",57
"NWT","sdl","36","1992-11-27",10,NA,NA,NA,NA,10,1,1992,11,"1993",57
"NWT","sdl","43","1992-11-27",115,NA,NA,NA,NA,115,1,1992,11,"1993",57
"NWT","sdl","44","1992-11-27",90,NA,NA,NA,NA,90,1,1992,11,"1993",57
"NWT","sdl","48","1992-11-27",15,NA,NA,NA,NA,15,1,1992,11,"1993",57
"NWT","sdl","53","1992-11-27",105,NA,NA,NA,NA,105,1,1992,11,"1993",57
"NWT","sdl","55","1992-11-27",160,NA,NA,NA,NA,160,1,1992,11,"1993",57
"NWT","sdl","6","1992-12-13",28,NA,NA,NA,NA,28,1,1992,12,"1993",73
"NWT","sdl","23","1992-12-13",105,NA,NA,NA,NA,105,1,1992,12,"1993",73
"NWT","sdl","36","1992-12-13",10,NA,NA,NA,NA,10,1,1992,12,"1993",73
"NWT","sdl","43","1992-12-13",83,NA,NA,NA,NA,83,1,1992,12,"1993",73
"NWT","sdl","44","1992-12-13",110,NA,NA,NA,NA,110,1,1992,12,"1993",73
"NWT","sdl","48","1992-12-13",9,NA,NA,NA,NA,9,1,1992,12,"1993",73
"NWT","sdl","53","1992-12-13",75,NA,NA,NA,NA,75,1,1992,12,"1993",73
"NWT","sdl","55","1992-12-13",175,NA,NA,NA,NA,175,1,1992,12,"1993",73
"NWT","sdl","6","1993-01-09",59,NA,NA,NA,NA,59,1,1993,1,"1993",101
"NWT","sdl","23","1993-01-09",147,NA,NA,NA,NA,147,1,1993,1,"1993",101
"NWT","sdl","36","1993-01-09",22,NA,NA,NA,NA,22,1,1993,1,"1993",101
"NWT","sdl","43","1993-01-09",135,NA,NA,NA,NA,135,1,1993,1,"1993",101
"NWT","sdl","44","1993-01-09",133,NA,NA,NA,NA,133,1,1993,1,"1993",101
"NWT","sdl","48","1993-01-09",19,NA,NA,NA,NA,19,1,1993,1,"1993",101
"NWT","sdl","53","1993-01-09",130,NA,NA,NA,NA,130,1,1993,1,"1993",101
"NWT","sdl","55","1993-01-09",238,NA,NA,NA,NA,238,1,1993,1,"1993",101
"NWT","sdl","6","1993-01-31",90,NA,NA,NA,NA,90,1,1993,1,"1993",123
"NWT","sdl","23","1993-01-31",205,NA,NA,NA,NA,205,1,1993,1,"1993",123
"NWT","sdl","36","1993-01-31",12,NA,NA,NA,NA,12,1,1993,1,"1993",123
"NWT","sdl","43","1993-01-31",220,NA,NA,NA,NA,220,1,1993,1,"1993",123
"NWT","sdl","44","1993-01-31",145,NA,NA,NA,NA,145,1,1993,1,"1993",123
"NWT","sdl","48","1993-01-31",8,NA,NA,NA,NA,8,1,1993,1,"1993",123
"NWT","sdl","53","1993-01-31",170,NA,NA,NA,NA,170,1,1993,1,"1993",123
"NWT","sdl","55","1993-01-31",320,NA,NA,NA,NA,320,1,1993,1,"1993",123
"NWT","sdl","6","1993-02-06",90,94,95,97,100,95,5,1993,2,"1993",129
"NWT","sdl","23","1993-02-06",203,208,203,195,198,201,5,1993,2,"1993",129
"NWT","sdl","36","1993-02-06",10,17,19,17,27,18,5,1993,2,"1993",129
"NWT","sdl","43","1993-02-06",215,238,233,223,209,224,5,1993,2,"1993",129
"NWT","sdl","44","1993-02-06",210,233,191,215,245,219,5,1993,2,"1993",129
"NWT","sdl","48","1993-02-06",2,9,4,7,11,7,5,1993,2,"1993",129
"NWT","sdl","53","1993-02-06",195,198,193,200,201,197,5,1993,2,"1993",129
"NWT","sdl","55","1993-02-06",320,NA,NA,NA,NA,320,1,1993,2,"1993",129
"NWT","sdl","6","1993-02-27",170,174,171,173,176,173,5,1993,2,"1993",150
"NWT","sdl","23","1993-02-27",102,100,108,95,96,100,5,1993,2,"1993",150
"NWT","sdl","36","1993-02-27",175,NA,NA,NA,NA,175,1,1993,2,"1993",150
"NWT","sdl","43","1993-02-27",324,NA,NA,NA,NA,324,1,1993,2,"1993",150
"NWT","sdl","44","1993-02-27",270,220,296,284,251,264,5,1993,2,"1993",150
"NWT","sdl","48","1993-02-27",36,39,36,32,42,37,5,1993,2,"1993",150
"NWT","sdl","53","1993-02-27",290,NA,283,284,NA,286,3,1993,2,"1993",150
"NWT","sdl","55","1993-02-27",480,NA,NA,NA,NA,480,1,1993,2,"1993",150
"NWT","sdl","6","1993-03-14",180,NA,NA,NA,NA,180,1,1993,3,"1993",165
"NWT","sdl","23","1993-03-14",309,NA,NA,NA,NA,309,1,1993,3,"1993",165
"NWT","sdl","36","1993-03-14",75,NA,NA,NA,NA,75,1,1993,3,"1993",165
"NWT","sdl","43","1993-03-14",340,NA,NA,NA,NA,340,1,1993,3,"1993",165
"NWT","sdl","44","1993-03-14",492,NA,NA,NA,NA,492,1,1993,3,"1993",165
"NWT","sdl","48","1993-03-14",20,NA,NA,NA,NA,20,1,1993,3,"1993",165
"NWT","sdl","53","1993-03-14",320,NA,NA,NA,NA,320,1,1993,3,"1993",165
"NWT","sdl","55","1993-03-14",553,NA,NA,NA,NA,553,1,1993,3,"1993",165
"NWT","sdl","6","1993-04-04",205,NA,NA,NA,NA,205,1,1993,4,"1993",186
"NWT","sdl","23","1993-04-04",341,NA,NA,NA,NA,341,1,1993,4,"1993",186
"NWT","sdl","36","1993-04-04",112,NA,NA,NA,NA,112,1,1993,4,"1993",186
"NWT","sdl","43","1993-04-04",392,NA,NA,NA,NA,392,1,1993,4,"1993",186
