"LTER_site","local_site","point_ID","date","depth_stake","depth_n","depth_e","depth_s","depth_w","mean_depth","num_meas","year","month","seas","jd"
"NWT","sdl","27","1996-01-11",30,NA,NA,NA,NA,30,1,1996,1,"1996",101
"NWT","sdl","34","1996-01-11",230,NA,NA,NA,NA,230,1,1996,1,"1996",101
"NWT","sdl","52","1996-01-11",10,NA,NA,NA,NA,10,1,1996,1,"1996",101
"NWT","sdl","56","1996-01-11",345,NA,NA,NA,NA,345,1,1996,1,"1996",101
"NWT","sdl","66","1996-01-11",235,NA,NA,NA,NA,235,1,1996,1,"1996",101
"NWT","sdl","67","1996-01-11",30,NA,NA,NA,NA,30,1,1996,1,"1996",101
"NWT","sdl","75","1996-01-11",265,NA,NA,NA,NA,265,1,1996,1,"1996",101
"NWT","sdl","78","1996-01-11",10,NA,NA,NA,NA,10,1,1996,1,"1996",101
"NWT","sdl","27","1996-01-28",70,NA,NA,NA,NA,70,1,1996,1,"1996",118
"NWT","sdl","34","1996-01-28",325,NA,NA,NA,NA,325,1,1996,1,"1996",118
"NWT","sdl","52","1996-01-28",80,NA,NA,NA,NA,80,1,1996,1,"1996",118
"NWT","sdl","56","1996-01-28",305,NA,NA,NA,NA,305,1,1996,1,"1996",118
"NWT","sdl","66","1996-01-28",320,NA,NA,NA,NA,320,1,1996,1,"1996",118
"NWT","sdl","67","1996-01-28",45,NA,NA,NA,NA,45,1,1996,1,"1996",118
"NWT","sdl","75","1996-01-28",355,NA,NA,NA,NA,355,1,1996,1,"1996",118
"NWT","sdl","78","1996-01-28",0,NA,NA,NA,NA,0,1,1996,1,"1996",118
"NWT","sdl","27","1996-02-28",70,NA,NA,NA,NA,70,1,1996,2,"1996",149
"NWT","sdl","34","1996-02-28",380,NA,NA,NA,NA,380,1,1996,2,"1996",149
"NWT","sdl","52","1996-02-28",110,NA,NA,NA,NA,110,1,1996,2,"1996",149
"NWT","sdl","56","1996-02-28",440,NA,NA,NA,NA,440,1,1996,2,"1996",149
"NWT","sdl","66","1996-02-28",310,NA,NA,NA,NA,310,1,1996,2,"1996",149
"NWT","sdl","67","1996-02-28",80,NA,NA,NA,NA,80,1,1996,2,"1996",149
"NWT","sdl","75","1996-02-28",425,NA,NA,NA,NA,425,1,1996,2,"1996",149
"NWT","sdl","78","1996-02-28",0,NA,NA,NA,NA,0,1,1996,2,"1996",149
"NWT","sdl","27","1996-03-13",60,NA,NA,NA,NA,60,1,1996,3,"1996",163
"NWT","sdl","34","1996-03-13",420,NA,NA,NA,NA,420,1,1996,3,"1996",163
"NWT","sdl","52","1996-03-13",80,NA,NA,NA,NA,80,1,1996,3,"1996",163
"NWT","sdl","56","1996-03-13",360,NA,NA,NA,NA,360,1,1996,3,"1996",163
"NWT","sdl","66","1996-03-13",360,NA,NA,NA,NA,360,1,1996,3,"1996",163
"NWT","sdl","67","1996-03-13",115,NA,NA,NA,NA,115,1,1996,3,"1996",163
"NWT","sdl","75","1996-03-13",430,NA,NA,NA,NA,430,1,1996,3,"1996",163
"NWT","sdl","78","1996-03-13",10,NA,NA,NA,NA,10,1,1996,3,"1996",163
"NWT","sdl","27","1996-03-27",85,NA,NA,NA,NA,85,1,1996,3,"1996",177
"NWT","sdl","34","1996-03-27",420,NA,NA,NA,NA,420,1,1996,3,"1996",177
"NWT","sdl","52","1996-03-27",125,NA,NA,NA,NA,125,1,1996,3,"1996",177
"NWT","sdl","56","1996-03-27",545,NA,NA,NA,NA,545,1,1996,3,"1996",177
"NWT","sdl","66","1996-03-27",540,NA,NA,NA,NA,540,1,1996,3,"1996",177
"NWT","sdl","67","1996-03-27",130,NA,NA,NA,NA,130,1,1996,3,"1996",177
"NWT","sdl","75","1996-03-27",480,NA,NA,NA,NA,480,1,1996,3,"1996",177
"NWT","sdl","78","1996-03-27",0,NA,NA,NA,NA,0,1,1996,3,"1996",177
"NWT","sdl","27","1996-05-09",70,NA,NA,NA,NA,70,1,1996,5,"1996",220
"NWT","sdl","34","1996-05-09",455,NA,NA,NA,NA,455,1,1996,5,"1996",220
"NWT","sdl","52","1996-05-09",110,NA,NA,NA,NA,110,1,1996,5,"1996",220
"NWT","sdl","56","1996-05-09",560,NA,NA,NA,NA,560,1,1996,5,"1996",220
"NWT","sdl","66","1996-05-09",560,NA,NA,NA,NA,560,1,1996,5,"1996",220
"NWT","sdl","67","1996-05-09",130,NA,NA,NA,NA,130,1,1996,5,"1996",220
"NWT","sdl","75","1996-05-09",460,NA,NA,NA,NA,460,1,1996,5,"1996",220
"NWT","sdl","78","1996-05-09",0,NA,NA,NA,NA,0,1,1996,5,"1996",220
"NWT","sdl","27","1996-05-22",30,NA,NA,NA,NA,30,1,1996,5,"1996",233
"NWT","sdl","34","1996-05-22",385,NA,NA,NA,NA,385,1,1996,5,"1996",233
"NWT","sdl","52","1996-05-22",65,NA,NA,NA,NA,65,1,1996,5,"1996",233
"NWT","sdl","56","1996-05-22",450,NA,NA,NA,NA,450,1,1996,5,"1996",233
"NWT","sdl","66","1996-05-22",470,NA,NA,NA,NA,470,1,1996,5,"1996",233
"NWT","sdl","67","1996-05-22",70,NA,NA,NA,NA,70,1,1996,5,"1996",233
"NWT","sdl","75","1996-05-22",390,NA,NA,NA,NA,390,1,1996,5,"1996",233
"NWT","sdl","78","1996-05-22",0,NA,NA,NA,NA,0,1,1996,5,"1996",233
"NWT","sdl","27","1996-06-07",0,NA,NA,NA,NA,0,1,1996,6,"1996",249
"NWT","sdl","34","1996-06-07",310,NA,NA,NA,NA,310,1,1996,6,"1996",249
"NWT","sdl","52","1996-06-07",50,NA,NA,NA,NA,50,1,1996,6,"1996",249
"NWT","sdl","56","1996-06-07",450,NA,NA,NA,NA,450,1,1996,6,"1996",249
"NWT","sdl","66","1996-06-07",140,NA,NA,NA,NA,140,1,1996,6,"1996",249
"NWT","sdl","67","1996-06-07",40,NA,NA,NA,NA,40,1,1996,6,"1996",249
"NWT","sdl","75","1996-06-07",380,NA,NA,NA,NA,380,1,1996,6,"1996",249
"NWT","sdl","78","1996-06-07",0,NA,NA,NA,NA,0,1,1996,6,"1996",249
"NWT","sdl","27","1996-06-14",0,NA,NA,NA,NA,0,1,1996,6,"1996",256
"NWT","sdl","34","1996-06-14",315,NA,NA,NA,NA,315,1,1996,6,"1996",256
"NWT","sdl","52","1996-06-14",0,NA,NA,NA,NA,0,1,1996,6,"1996",256
"NWT","sdl","56","1996-06-14",280,NA,NA,NA,NA,280,1,1996,6,"1996",256
"NWT","sdl","66","1996-06-14",230,NA,NA,NA,NA,230,1,1996,6,"1996",256
"NWT","sdl","67","1996-06-14",0,NA,NA,NA,NA,0,1,1996,6,"1996",256
"NWT","sdl","75","1996-06-14",325,NA,NA,NA,NA,325,1,1996,6,"1996",256
"NWT","sdl","78","1996-06-14",0,NA,NA,NA,NA,0,1,1996,6,"1996",256
"NWT","sdl","27","1996-06-26",0,NA,NA,NA,NA,0,1,1996,6,"1996",268
"NWT","sdl","34","1996-06-26",235,NA,NA,NA,NA,235,1,1996,6,"1996",268
"NWT","sdl","52","1996-06-26",0,NA,NA,NA,NA,0,1,1996,6,"1996",268
"NWT","sdl","56","1996-06-26",135,NA,NA,NA,NA,135,1,1996,6,"1996",268
"NWT","sdl","66","1996-06-26",5,NA,NA,NA,NA,5,1,1996,6,"1996",268
"NWT","sdl","67","1996-06-26",0,NA,NA,NA,NA,0,1,1996,6,"1996",268
"NWT","sdl","75","1996-06-26",240,NA,NA,NA,NA,240,1,1996,6,"1996",268
"NWT","sdl","78","1996-06-26",0,NA,NA,NA,NA,0,1,1996,6,"1996",268
"NWT","sdl","27","1996-07-03",0,NA,NA,NA,NA,0,1,1996,7,"1996",275
"NWT","sdl","34","1996-07-03",50,NA,NA,NA,NA,50,1,1996,7,"1996",275
