year,collection_date,plot,subsample,veg_class,NPP,veg_moist 
2008,NaN,9,A,DM,111,0
2008,NaN,9,B,DM,200,0
2008,NaN,18,A,DM,125,0
2008,NaN,18,B,DM,166,0
2008,NaN,30,A,DM,186,0
2008,NaN,30,B,DM,146,0
2008,NaN,39,A,DM,114,0
2008,NaN,39,B,DM,128,0
2008,NaN,40,A,DM,323,0
2008,NaN,40,B,DM,238,0
2008,NaN,48,A,DM,111,0
2008,NaN,48,B,DM,168,0
2008,NaN,50,A,DM,147,0
2008,NaN,50,B,DM,116,0
2008,NaN,59,A,DM,136,0
2008,NaN,59,B,DM,114,0
2008,NaN,69,A,DM,90,0
2008,NaN,69,B,DM,91,0
2008,NaN,70,A,DM,101,0
2008,NaN,70,B,DM,106,0
2008,NaN,78,A,DM,181,0
2008,NaN,78,B,DM,137,0
2008,NaN,401,A,DM,112,0
2008,NaN,401,B,DM,80,0
2008,NaN,501,A,DM,75,0
2008,NaN,501,B,DM,80,0
2008,NaN,601,A,DM,208,0
2008,NaN,601,B,DM,198,0
2008,NaN,701,A,DM,139,0
2008,NaN,701,B,DM,177,0
2008,NaN,801,A,DM,185,0
2008,NaN,801,B,DM,165,0
2010,7/22/2010,30,A,DM,105,0
2010,7/22/2010,30,B,DM,82,0
2010,7/22/2010,39,A,DM,74,0
2010,7/22/2010,39,B,DM,117,0
2010,7/22/2010,40,A,DM,167,0
2010,7/22/2010,40,B,DM,142,0
2010,7/22/2010,48,A,DM,183,0
2010,7/22/2010,48,B,DM,222,0
2010,7/22/2010,59,A,DM,122,0
2010,7/22/2010,59,B,DM,176,0
2010,8/2/2010,401,A,DM,133,0
2010,8/2/2010,401,B,DM,72,0
2010,8/2/2010,501,A,DM,157,0
2010,8/2/2010,601,A,DM,130,0
2010,8/2/2010,601,B,DM,75,0
2010,8/5/2010,50,A,DM,60,0
2010,8/5/2010,50,B,DM,39,0
2010,8/5/2010,70,A,DM,61,0
2010,8/5/2010,70,B,DM,76,0
2010,8/10/2010,78,A,DM,179,0
2010,8/10/2010,78,B,DM,256,0
2010,8/10/2010,701,A,DM,218,0
2010,8/10/2010,701,B,DM,134,0
2010,8/10/2010,801,A,DM,84,0
2010,8/10/2010,801,B,DM,129,0
2010,NaN,9,A,DM,172,0
2010,NaN,9,B,DM,136,0
2010,NaN,18,A,DM,188,0
2010,NaN,18,B,DM,126,0
2010,NaN,69,A,DM,48,0
2010,NaN,69,B,DM,100,0
2010,NaN,501,B,DM,143,0
2011,7/13/2011,30,A,DM,71,0
2011,7/13/2011,30,B,DM,68,0
2011,7/20/2011,9,A,DM,109,0
2011,7/20/2011,9,B,DM,69,0
2011,7/20/2011,18,A,DM,108,0
2011,7/20/2011,18,B,DM,144,0
2011,7/20/2011,39,A,DM,103,0
2011,7/20/2011,39,B,DM,91,0
2011,7/20/2011,40,A,DM,95,0
2011,7/20/2011,40,B,DM,92,0
2011,7/20/2011,701,B,DM,76,0
2011,7/20/2011,801,A,DM,136,0
2011,7/22/2011,50,A,DM,94,0
2011,7/22/2011,50,B,DM,83,0
2011,7/22/2011,401,A,DM,98,0
2011,7/22/2011,401,B,DM,80,0
2011,7/22/2011,501,A,DM,142,0
2011,7/22/2011,501,B,DM,146,0
2011,7/22/2011,601,A,DM,193,0
2011,7/22/2011,601,B,DM,180,0
2011,7/22/2011,701,A,DM,120,0
2011,7/22/2011,801,B,DM,71,0
2011,7/25/2011,59,A,DM,147,0
2011,7/25/2011,59,B,DM,82,0
2011,7/25/2011,69,A,DM,159,0
2011,7/25/2011,69,B,DM,72,0
2011,7/25/2011,70,A,DM,82,0
2011,7/25/2011,70,B,DM,59,0
2011,7/25/2011,78,A,DM,280,0
2011,8/8/2011,78,B,DM,265,0
2011,9/9/2011,48,A,DM,80,0
2011,9/9/2011,48,B,DM,52,0
2012,6/26/2012,9,A,DM,106,0
2012,6/26/2012,9,B,DM,66,0
2012,6/26/2012,18,A,DM,73,0
2012,6/26/2012,18,B,DM,56,0
2012,6/26/2012,30,A,DM,76,0
2012,6/26/2012,30,B,DM,75,0
2012,6/26/2012,39,A,DM,74,0
2012,6/26/2012,39,B,DM,72,0
2012,6/26/2012,40,A,DM,100,0
2012,6/26/2012,40,B,DM,81,0
2012,6/26/2012,48,A,DM,59,0
2012,6/26/2012,48,B,DM,102,0
2012,6/26/2012,50,A,DM,38,0
